atp,location,tournament,date,series,court,surface,round,bestof,winner,loser,anho
1,Brisbane,Brisbane International,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Benneteau J.,2013
1,Brisbane,Brisbane International,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Duckworth J.,2013
1,Brisbane,Brisbane International,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Istomin D.,2013
1,Brisbane,Brisbane International,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tursunov D.,2013
1,Brisbane,Brisbane International,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Haase R.,2013
1,Brisbane,Brisbane International,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Sijsling I.,2013
1,Brisbane,Brisbane International,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Kuznetsov Al.,2013
1,Brisbane,Brisbane International,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Kukushkin M.,2013
1,Brisbane,Brisbane International,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Mannarino A.,2013
1,Brisbane,Brisbane International,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Copil M.,Sugita Y.,2013
1,Brisbane,Brisbane International,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kokkinakis T.,2013
1,Brisbane,Brisbane International,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Harrison R.,2013
1,Brisbane,Brisbane International,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Matosevic M.,Querrey S.,2014
1,Brisbane,Brisbane International,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Dimitrov G.,2014
1,Brisbane,Brisbane International,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Ebden M.,2014
1,Brisbane,Brisbane International,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Nieminen J.,2014
1,Brisbane,Brisbane International,2014/01/02,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Mahut N.,2014
1,Brisbane,Brisbane International,2014/01/02,ATP250,Outdoor,Hard,2nd Round,3,Copil M.,Simon G.,2014
1,Brisbane,Brisbane International,2014/01/02,ATP250,Outdoor,Hard,2nd Round,3,Hewitt L.,Lopez F.,2014
1,Brisbane,Brisbane International,2014/01/02,ATP250,Outdoor,Hard,2nd Round,3,Groth S.,Herbert P.H.,2014
1,Brisbane,Brisbane International,2014/01/03,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Cilic M.,2014
1,Brisbane,Brisbane International,2014/01/03,ATP250,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Copil M.,2014
1,Brisbane,Brisbane International,2014/01/03,ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Groth S.,2014
1,Brisbane,Brisbane International,2014/01/03,ATP250,Outdoor,Hard,Quarterfinals,3,Federer R.,Matosevic M.,2014
1,Brisbane,Brisbane International,2014/01/04,ATP250,Outdoor,Hard,Semifinals,3,Hewitt L.,Nishikori K.,2014
1,Brisbane,Brisbane International,2014/01/04,ATP250,Outdoor,Hard,Semifinals,3,Federer R.,Chardy J.,2014
1,Brisbane,Brisbane International,2014/01/05,ATP250,Outdoor,Hard,The Final,3,Hewitt L.,Federer R.,2014
2,Chennai,Chennai Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Smyczek T.,2013
2,Chennai,Chennai Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Nedunchezhiyan J.,2013
2,Chennai,Chennai Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Lacko L.,2013
2,Chennai,Chennai Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Pospisil V.,Edmund K.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Laaksonen H.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Ramos A.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Carreno-Busta P.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Kudryavtsev A.,Bautista R.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Devvarman S.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Reister J.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Albot R.,2013
2,Chennai,Chennai Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Nedovyesov A.,2013
2,Chennai,Chennai Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Roger-Vasselin E.,Vesely J.,2014
2,Chennai,Chennai Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Youzhny M.,2014
