series,court,surface,round,bestof,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,anho
ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Benneteau J.,61,35,774,1160,5,7,6,4,7,6,,,,,2,1,2013
ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Duckworth J.,39,136,1090,425,6,2,6,3,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Istomin D.,37,45,1130,965,6,7,7,6,6,4,,,,,2,1,2013
ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tursunov D.,46,29,960,1244,7,5,6,4,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Haase R.,23,43,1520,977,6,2,6,3,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Sijsling I.,50,70,918,697,3,6,6,4,6,4,,,,,2,1,2013
ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Kuznetsov Al.,68,142,706,397,6,3,6,4,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Kukushkin M.,28,67,1310,721,6,4,6,4,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Mannarino A.,34,59,1175,784,7,6,7,5,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Copil M.,Sugita Y.,147,170,369,310,7,6,6,7,7,6,,,,,2,1,2013
ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kokkinakis T.,60,628,780,41,6,3,7,5,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Groth S.,Harrison R.,172,100,307,549,7,6,7,6,,,,,,,2,0,2013
ATP250,Outdoor,Hard,2nd Round,3,Matosevic M.,Querrey S.,61,46,774,960,5,7,7,6,6,4,,,,,2,1,2014
ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Dimitrov G.,37,23,1130,1520,7,5,7,5,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Ebden M.,17,68,1915,706,6,2,6,4,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Nieminen J.,6,39,4205,1090,6,4,6,2,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Mahut N.,34,50,1175,918,7,5,6,7,6,3,,,,,2,1,2014
