source,target,weight
1,214,1
2,144,1
3,70,1
4,89,1
5,47,1
6,64,1
7,94,1
8,81,1
9,84,1
10,69,1
11,62,1
12,88,2
13,6,1
1,3,1
4,8,1
14,9,2
5,2,1
15,7,1
16,10,1
12,11,2
14,4,1
13,1,1
5,15,1
16,12,1
13,14,1
5,16,1
5,13,1
17,215,1
18,119,1
19,118,1
20,60,1
21,126,1
22,133,1
23,127,1
24,107,1
25,165,1
26,170,1
27,73,1
28,216,1
19,24,1
29,17,1
20,72,1
18,21,1
28,22,1
30,27,2
25,26,1
23,109,1
19,20,1
18,29,1
25,23,1
30,28,1
19,18,1
30,25,1
30,19,1
31,137,1
32,217,1
33,61,1
34,129,1
35,159,1
36,48,2
37,54,1
38,171,1
39,141,2
40,218,1
41,49,1
42,95,1
43,63,2
44,93,1
45,55,1
46,116,1
33,41,1
39,36,1
37,38,1
46,32,1
34,35,1
45,42,1
44,40,1
43,31,1
39,44,1
34,37,1
45,33,1
46,43,1
34,39,2
45,46,1
34,45,1
47,144,2
48,219,1
32,35,2
49,10,1
50,220,1
31,221,1
51,137,1
52,127,2
53,29,1
24,40,2
54,134,1
55,222,1
48,3,2
53,51,1
47,24,2
56,49,2
32,223,1
54,31,1
55,50,1
57,52,1
53,48,1
47,56,2
54,32,2
57,55,2
53,54,1
57,47,2
57,53,1
2,106,1
58,4,1
59,118,2
60,224,1
61,159,1
41,91,2
62,25,1
63,109,1
11,33,1
64,88,1
65,97,1
1,110,1
66,2,2
64,58,1
67,11,2
41,1,1
59,65,1
9,61,2
63,62,1
15,60,1
64,66,1
9,41,1
63,67,2
59,15,1
64,9,1
59,63,1
64,59,1
62,42,1
55,33,1
9,119,1
68,23,1
52,2,1
13,63,1
11,127,1
69,192,1
46,225,1
70,106,1
71,24,1
56,165,1
72,112,1
49,226,1
45,93,1
73,144,1
10,66,1
74,29,1
40,134,1
61,227,1
75,95,1
76,139,1
77,8,1
18,65,2
59,137,1
43,118,1
57,94,2
47,114,1
78,60,1
14,109,1
17,7,1
79,228,1
41,110,1
27,6,1
80,175,1
81,221,1
82,48,1
83,107,1
84,229,1
16,31,1
36,120,1
85,124,1
67,199,1
12,159,1
4,97,1
54,28,1
15,129,1
64,122,1
86,178,1
30,136,1
87,230,1
88,126,1
1,53,1
37,200,1
44,35,1
89,19,1
21,22,1
3,231,1
25,145,1
90,32,1
91,50,1
5,224,1
92,188,1
13,55,2
49,77,1
43,73,1
74,18,1
11,56,3
46,52,3
14,47,1
79,76,1
17,10,1
69,62,1
75,78,1
59,72,1
57,40,1
70,68,1
45,71,1
87,83,2
67,4,1
41,80,1
81,27,1
30,84,1
5,21,1
3,89,1
92,34,1
16,64,2
36,37,1
90,88,1
44,86,1
82,85,2
25,91,1
15,1,1
12,54,1
75,17,1
43,57,1
11,49,2
45,69,1
59,70,1
13,74,1
79,46,3
36,44,1
15,25,1
30,3,1
92,67,1
12,82,2
16,81,1
90,41,1
5,87,1
11,45,1
14,75,1
43,59,1
79,13,1
36,15,2
5,92,2
16,30,1
12,90,1
14,43,1
79,11,3
5,36,2
12,16,1
79,14,2
12,5,3
79,12,4
55,65,1
31,127,1
93,192,1
23,126,1
39,232,1
25,40,1
19,183,1
94,233,1
49,234,1
50,131,1
95,198,1
96,11,1
31,72,1
82,23,2
55,95,1
96,93,1
87,49,1
25,50,1
43,94,1
19,39,1
87,96,1
25,31,1
43,19,1
82,55,2
87,25,1
82,43,1
82,87,3
42,35,1
97,235,1
98,236,1
99,118,1
22,237,1
100,238,1
101,27,1
102,115,1
103,88,1
104,116,1
105,138,1
68,189,1
22,97,1
106,98,1
101,99,1
29,104,1
61,100,1
103,102,1
105,42,1
68,44,1
29,101,1
61,103,1
106,22,1
68,105,1
61,29,1
68,106,1
68,61,1
107,239,1
64,240,1
108,241,1
28,242,1
48,243,1
109,63,1
17,244,1
110,134,1
9,245,1
111,246,1
112,18,1
75,119,2
36,107,2
30,108,1
109,111,1
64,28,1
9,48,1
110,15,1
17,75,1
5,112,2
30,64,1
36,17,2
5,9,1
110,109,1
36,30,1
5,110,1
113,60,1
114,144,1
88,98,1
83,20,1
