id,nxombre
1,Thompson J.
2,Mahut N.
3,Ferrer D.
4,Edmund K.
5,Dimitrov G.
6,Donaldson J.
7,Groth S.
8,Pouille L.
9,Troicki V.
10,Schwartzman D.
11,Zverev M.
12,Nadal R.
13,Nishikori K.
14,Wawrinka S.
15,Thiem D.
16,Raonic M.
17,Darcis S.
18,Sela D.
19,Medvedev D.
20,Kovalik J.
21,Chung H.
22,Olivo R.
23,Bedene A.
24,Lu Y.H.
25,Paire B.
26,Bhambri Y.
27,Dutra Silva R.
28,Youzhny M.
29,Ramos-Vinolas A.
30,Bautista Agut R.
31,Brown D.
32,Vesely J.
33,Almagro N.
34,Djokovic N.
35,Zeballos H.
36,Goffin D.
37,Stepanek R.
38,De Greef A.
39,Verdasco F.
40,Khachanov K.
41,Kohlschreiber P.
42,Melzer G.
43,Tsonga J.W.
44,Karlovic I.
45,Murray A.
46,Berdych T.
47,Johnson S.
48,Haase R.
49,Jaziri M.
50,Lopez F.
51,Klein B.
52,Harrison R.
53,Sousa J.
54,Baghdatis M.
55,Chardy J.
56,Isner J.
57,Sock J.
58,Barton M.
59,Evans D.
60,Elias G.
61,Lorenzi P.
62,De Minaur A.
63,Kuznetsov An.
64,Muller G.
65,Granollers M.
66,Cuevas P.
67,Carreno Busta P.
68,Estrella Burgos V.
69,Querrey S.
70,Tomic B.
71,Rublev A.
72,Cilic M.
73,Lajovic D.
74,Lacko L.
75,Seppi A.
76,Rubin N.
77,Bublik A.
78,Kyrgios N.
79,Federer R.
80,Young D.
81,Simon G.
82,Zverev A.
83,Berlocq C.
84,Nishioka Y.
85,Tiafoe F.
86,Whittington A.
87,Gasquet R.
88,Dolgopolov O.
89,Escobedo E.
90,Monfils G.
91,Fognini F.
92,Istomin D.
93,Marchenko I.
94,Herbert P.H.
95,Mathieu P.H.
96,De Schepper K.
97,Giraldo S.
98,Tipsarevic J.
99,Lapentti G.
100,Ebden M.
101,Carballes Baena R.
102,Kicker N.
103,Ram R.
104,Falla A.
105,Gaio F.
106,Bellucci T.
107,Albot R.
108,Stebe C.M.
109,Klizan M.
110,Basilashvili N.
111,Brands D.
112,Janowicz J.
113,Mayer L.
114,Delbonis F.
115,Andreozzi G.
116,Giannessi A.
117,Robredo T.
118,Monteiro T.
119,Dzumhur D.
120,Opelka R.
121,King D.
122,Fritz T.
123,Smyczek T.
124,Kukushkin M.
125,Donskoy E.
126,Coric B.
127,Garcia-Lopez G.
128,Del Potro J.M.
129,Struff J.L.
130,Gombos N.
131,Benneteau J.
132,Stakhovsky S.
133,Ruud C.
134,Mannarino A.
135,Copil M.
136,Pella G.
137,Bagnis F.
138,Souza J.
139,Fratangelo B.
140,Gojowczyk P.
141,Pospisil V.
142,Anderson K.
143,Laaksonen H.
144,Robert S.
145,Haas T.
146,Gonzalez M.
147,Djere L.
148,Ahouda A.
149,El Amrani R.
150,Quinzi G.
151,Sugita Y.
152,Montanes A.
153,Fucsovics M.
154,Silva F.F.
155,Daniel T.
156,Domingues J.
157,Sousa P.
158,Hanfmann Y.
159,Mayer F.
160,Skugor F.
161,Bonzi B.
162,Trungelliti M.
163,Napolitano S.
164,Bolelli S.
165,Kravchuk K.
166,Del Potro J. M.
167,Kokkinakis T.
168,Kozlov S.
169,Shapovalov D.
170,Ramanathan R.
171,Safwat M.
172,Altmaier D.
173,Ilhan M.
174,Norrie C.
175,Fabbiano T.
176,Rosol L.
177,Bemelmans R.
178,Pavlasek A.
179,Gulbis E.
180,Ofner S.
181,Novikov D.
182,Kudla D.
183,Kamke T.
184,Menendez-Maceiras A.
185,Santillan A.
186,Dancevic F.
187,Cecchinato M.
188,Dodig I.
189,Martin A.
190,Balazs A.
191,Paul T.
192,Halys Q.
193,Millman J.
194,Eubanks C.
195,Sakharov G.
196,Zekic M.
197,King E.
198,Millot V.
199,Polansky P.
200,Tursunov D.
201,Sandgren T.
202,Krueger M.
203,Travaglia S.
204,Maden Y.
205,Berankis R.
206,Broady L.
207,Zhang Zh.
208,Uchiyama Y.
209,Tsitsipas S.
210,Wu D.
211,Krajinovic F.
